Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M1_01.jpg,6.30E+03,1.32E+02,3.71E+01,3.90E+01,2.55E+02,3.84E+02,8.29E+05,1.30E+02,1.00E+02,3.12E+06
15-12a_SD_M1_01.jpg,7.07E+01,7.71E+01,2.18E+01,4.30E+01,2.55E+02,3.16E+01,5.45E+03,7.50E+01,1.00E+02,2.05E+04
15-12a_SD_M1_01.jpg,7.89E+01,8.79E+01,2.50E+01,5.00E+01,1.70E+02,3.40E+01,6.94E+03,8.20E+01,1.00E+02,2.61E+04
15-12a_SD_M1_01.jpg,6.66E+03,1.30E+02,3.65E+01,3.30E+01,2.55E+02,4.07E+02,8.62E+05,1.28E+02,1.00E+02,3.25E+06
15-12a_SD_M1_01.jpg,9.19E+01,9.25E+01,2.61E+01,4.70E+01,2.55E+02,3.48E+01,8.51E+03,8.80E+01,1.00E+02,3.20E+04
15-12a_SD_M1_01.jpg,4.84E+01,8.79E+01,2.33E+01,5.10E+01,1.71E+02,2.67E+01,4.25E+03,8.50E+01,1.00E+02,1.60E+04
15-12a_SD_M1_01.jpg,5.85E+01,8.09E+01,1.78E+01,4.20E+01,1.34E+02,2.83E+01,4.73E+03,7.70E+01,1.00E+02,1.78E+04
15-12a_SD_M1_01.jpg,9.99E+01,8.79E+01,2.07E+01,4.60E+01,1.46E+02,3.64E+01,8.79E+03,8.60E+01,1.00E+02,3.31E+04
15-12a_SD_M1_01.jpg,9.19E+01,8.52E+01,3.42E+01,4.30E+01,2.55E+02,3.48E+01,7.84E+03,7.70E+01,1.00E+02,2.95E+04
15-12a_SD_M1_01.jpg,6.84E+03,1.15E+02,3.03E+01,3.40E+01,2.55E+02,4.06E+02,7.86E+05,1.13E+02,1.00E+02,2.96E+06
15-12a_SD_M1_01.jpg,7.12E+01,8.38E+01,1.31E+01,6.10E+01,1.33E+02,3.00E+01,5.96E+03,8.10E+01,1.00E+02,2.25E+04
15-12a_SD_M1_01.jpg,9.94E+03,1.34E+02,4.61E+01,3.10E+01,2.55E+02,4.97E+02,1.33E+06,1.24E+02,1.00E+02,5.01E+06
