Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M1_01.jpg 6295 131.6 37.06 39 255 384 828500 130 100 3118000 
15-12a_SD_M1_01.jpg 70.68 77.06 21.8 43 255 31.58 5446 75 100 20500 
15-12a_SD_M1_01.jpg 78.91 87.94 24.97 50 170 34.01 6940 82 100 26120 
15-12a_SD_M1_01.jpg 6659 129.5 36.47 33 255 406.8 862300 128 100 3245000 
15-12a_SD_M1_01.jpg 91.93 92.53 26.09 47 255 34.82 8507 88 100 32020 
15-12a_SD_M1_01.jpg 48.36 87.92 23.33 51 171 26.72 4252 85 100 16000 
15-12a_SD_M1_01.jpg 58.45 80.94 17.83 42 134 28.34 4731 77 100 17810 
15-12a_SD_M1_01.jpg 99.9 87.94 20.65 46 146 36.44 8786 86 100 33070 
15-12a_SD_M1_01.jpg 91.93 85.23 34.15 43 255 34.82 7835 77 100 29490 
15-12a_SD_M1_01.jpg 6837 115 30.31 34 255 406.2 786100 113 100 2958000 
15-12a_SD_M1_01.jpg 71.21 83.76 13.06 61 133 29.96 5964 81 100 22450 
15-12a_SD_M1_01.jpg 9936 133.9 46.08 31 255 496.6 1330000 124 100 5007000 
15-12a_SD_M1_01.jpg 94.59 75.06 28.58 31 240 34.82 7100 67 100 26720 
15-12a_SD_M1_01.jpg 90.34 99.81 47.19 52 255 34.01 9016 88 100 33930 
15-12a_SD_M1_01.jpg 45.7 97.56 29.79 49 255 24.29 4459 91 100 16780 
15-12a_SD_M1_01.jpg 97.25 88.38 28.54 45 255 34.82 8594 85 100 32350 
15-12a_SD_M1_08.tif 5909 127.2 31.3 38 255 346.4 751500 125 0 2829000 
15-12a_SD_M1_08.tif 59.52 98.19 19.66 59 169 27.53 5844 97 0 22000 
15-12a_SD_M1_08.tif 50.48 110.9 23.29 60 165 25.1 5599 108 0 21070 
15-12a_SD_M1_08.tif 4915 128.8 35.45 34 255 324.4 632800 124 0 2382000 
15-12a_SD_M1_08.tif 96.72 102.6 36.01 50 255 34.82 9922 97 0 37340 
15-12a_SD_M1_08.tif 4593 121.6 32.8 32 255 288.8 558400 119 0 2102000 
15-12a_SD_M1_08.tif 72.54 101.5 40 46 255 30.77 7365 94 0 27720 
15-12a_SD_M1_08.tif 348300 148.3 46.54 19 255 4608 51660000 144 0 194400000 
15-12a_SD_M1_08.tif 6262 127.7 31.72 35 255 377.3 799900 125 0 3010000 
15-12a_SD_M1_08.tif 52.34 107.7 27.61 55 178 27.53 5636 104 0 21210 
15-12a_SD_M1_08.tif 42.51 93.87 26.15 54 162 24.29 3991 90 0 15020 
15-12a_SD_M1_08.tif 6090 125.7 30.09 36 255 391.2 765300 124 0 2880000 
15-12a_SD_M1_08.tif 65.63 100.4 39.05 54 255 29.15 6588 91 0 24790 
15-12a_SD_M1_08.tif 75.46 104.9 23.24 56 165 31.58 7918 103 0 29800 
15-12a_SD_M1_08.tif 105.2 107.7 26.66 51 172 36.44 11330 105 0 42640 
15-12a_SD_M1_08.tif 4907 126.6 32.08 32 255 379.6 621300 124 0 2338000 
15-12a_SD_M1_08.tif 3775 123.9 32.19 38 255 289 467900 122 0 1761000 
15-12a_SD_M1_08.tif 90.34 105.3 36.35 49 255 34.82 9511 99 0 35800 
15-12a_SD_M1_08.tif 110.5 108 41.98 46 255 37.25 11940 100 0 44950 
15-12a_SD_M1_08.tif 3480 123.7 36.56 37 255 285.5 430500 120 0 1620000 
15-12a_SD_M1_08.tif 55 81.98 37.4 43 255 25.91 4509 70 0 16970 
15-12a_SD_M1_08.tif 67.49 107.9 49.27 48 241 29.96 7284 96 0 27410 
15-12a_SD_M1_08.tif 66.96 103 39.26 50 255 30.77 6895 95 0 25950 
15-12a_SD_M1_08.tif 90.6 98.5 22.37 56 162 34.01 8925 94 0 33590 
15-12a_SD_M1_08.tif 5281 119.7 30.2 35 255 349.4 632100 118 0 2379000 
15-12a_SD_M1_08.tif 59.52 81.57 24.15 38 151 27.53 4855 79 0 18270 
15-12a_SD_M1_08.tif 53.14 101.6 20.38 53 152 26.72 5399 104 0 20320 
15-12a_SD_M1_08.tif 79.71 88.7 30.41 41 189 31.58 7070 83 0 26610 
15-12a_SD_M1_08.tif 79.71 121.4 74.41 41 255 31.58 9677 95 0 36420 
15-12a_SD_M1_08.tif 4665 123.5 33.28 37 255 354.3 575900 121 0 2167000 
15-12a_SD_M1_08.tif 50.48 84.47 22.88 41 147 25.1 4265 82 0 16050 
15-12a_SD_M1_08.tif 71.21 86.41 46.81 37 255 29.96 6153 76 0 23160 
15-12a_SD_M1_08.tif 58.45 95.3 36.77 48 255 28.34 5570 89 0 20970 
15-12a_SD_M1_08.tif 5052 128 29.13 40 255 321.2 646600 127 0 2434000 
15-12a_SD_M1_08.tif 71.21 117.8 30.65 70 199 29.96 8386 109 0 31560 
15-12a_SD_M1_08.tif 85.56 110.4 26.43 59 255 34.82 9446 108 0 35550 
15-12a_SD_M1_08.tif 105.7 107.8 29.3 52 255 36.44 11400 103 0 42890 
15-12a_SD_M1_08.tif 66.96 110.5 39.73 49 255 30.77 7397 105 0 27840 
15-12a_SD_M1_08.tif 143.5 122 36.06 51 255 45.34 17500 122 0 65870 
15-12a_SD_M1_09.tif 6660 126.4 35.59 26 255 413.8 842100 124 0 3169000 
15-12a_SD_M1_09.tif 42.51 81.46 16.11 44 122 23.48 3463 82 0 13030 
15-12a_SD_M1_09.tif 50.48 99.05 27.1 49 166 25.1 5000 94 0 18820 
15-12a_SD_M1_09.tif 60.58 87.5 14.27 53 143 27.53 5301 86 0 19950 
15-12a_SD_M1_09.tif 7660 114.6 30.03 32 255 469.8 877900 112 0 3304000 
15-12a_SD_M1_09.tif 62.17 78.03 16.59 52 116 28.34 4851 72 0 18260 
15-12a_SD_M1_09.tif 62.71 83.28 29.71 43 204 28.34 5222 76 0 19650 
15-12a_SD_M1_09.tif 76.52 90.93 24.62 49 171 30.77 6958 88 0 26190 
15-12a_SD_M1_09.tif 6153 121.3 33.64 34 255 369 746300 118 0 2809000 
15-12a_SD_M1_09.tif 79.18 96.53 24.22 46 243 31.58 7643 95 0 28770 
15-12a_SD_M1_09.tif 63.24 97.13 20.37 55 166 28.34 6142 96 0 23120 
15-12a_SD_M1_09.tif 59.78 85.55 23.07 47 141 27.53 5114 80 0 19250 
15-12a_SD_M1_09.tif 6724 120.5 32.91 34 255 420.3 810600 117 0 3051000 
15-12a_SD_M1_09.tif 59.52 92.77 35.08 34 255 27.53 5522 92 0 20780 
15-12a_SD_M1_09.tif 76.52 103.5 25.29 52 175 30.77 7920 103 0 29810 
15-12a_SD_M1_09.tif 46.76 97.22 40.57 35 255 24.29 4546 92 0 17110 
15-12a_SD_M1_09.tif 64.83 94.07 20.9 54 152 29.15 6098 92 0 22950 
15-12a_SD_M1_09.tif 101 126.2 28.93 67 199 35.63 12740 131 0 47950 
15-12a_SD_M1_09.tif 125.4 93.41 25.17 45 159 39.67 11710 93 0 44090 
15-12a_SD_M1_09.tif 6150 122.2 32.42 31 255 377.2 751500 119 0 2828000 
15-12a_SD_M2_01.tif 8170 122 30.49 33 255 419.7 996700 122 0 3751000 
15-12a_SD_M2_01.tif 68.02 87.97 35.32 43 255 36.44 5984 80 0 22520 
15-12a_SD_M2_01.tif 71.21 84.87 35.18 36 255 29.96 6043 80 0 22740 
